dateKind,dateName,isHoliday,locdate,seq
01,1월1일,Y,2022-01-01,1
01,설날,Y,2022-01-31,1
01,설날,Y,2022-02-01,1
01,설날,Y,2022-02-02,1
01,삼일절,Y,2022-03-01,1
01,대통령선거일,Y,2022-03-09,1
01,어린이날,Y,2022-05-05,1
01,부처님오신날,Y,2022-05-08,1
01,전국동시지방선거,Y,2022-06-01,1
01,현충일,Y,2022-06-06,1
01,광복절,Y,2022-08-15,1
01,추석,Y,2022-09-09,1
01,추석,Y,2022-09-10,1
01,추석,Y,2022-09-11,1
01,대체공휴일,Y,2022-09-12,1
01,개천절,Y,2022-10-03,1
01,한글날,Y,2022-10-09,1
01,대체공휴일,Y,2022-10-10,3
01,기독탄신일,Y,2022-12-25,1
01,1월1일,Y,2023-01-01,1
01,설날,Y,2023-01-21,1
01,설날,Y,2023-01-22,1
01,설날,Y,2023-01-23,1
01,대체공휴일,Y,2023-01-24,1
01,삼일절,Y,2023-03-01,1
01,어린이날,Y,2023-05-05,1
01,부처님오신날,Y,2023-05-27,1
01,대체공휴일,Y,2023-05-29,1
01,현충일,Y,2023-06-06,1
01,광복절,Y,2023-08-15,1
01,추석,Y,2023-09-28,1
01,추석,Y,2023-09-29,1
01,추석,Y,2023-09-30,1
01,개천절,Y,2023-10-03,1
01,한글날,Y,2023-10-09,1
01,기독탄신일,Y,2023-12-25,1
